Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.20773467432950188
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.19133141762452105
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.11326628352490425
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.21300287356321845
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.0993773946360153
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.08716475095785442
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.19468390804597702
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.18881704980842906
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.21360153256704983
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.11506226053639845
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.1075191570881226
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.2045019157088122
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.08848180076628359
lactose,chi2,flipping,0.3,proposed_dp_maf,0.1,0.10799808429118768
lactose,chi2,flipping,0.3,proposed_dp_maf,0.5,0.20031130268199226
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.18042127071823205
lactose,chi2,flipping,0.4,proposed_dp_maf,1.0,0.20330724370779624
lactose,chi2,flipping,0.4,proposed_dp_maf,1.0,0.18586939840392885
lactose,chi2,flipping,0.4,proposed_dp_maf,1.0,0.18042127071823205
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.21167127071823205
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.14276396562308163
lactose,chi2,flipping,0.4,proposed_dp_maf,1.0,0.21174800491098827
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.1095380601596071
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.12066451810926948
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.12895181092694907
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.18736571516267647
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.20898557397176176
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.20954189686924496
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.10677562922038053
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.1970725905463474
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.19091467157765502
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.1135666052793125
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.20062154696132595
